揽收量,派件量,网点得分,揽收出港及时率,派件出门准点率,当日签收率,虚假签收率,遗失率,升级投诉率,总投诉率,一次性解决率,二次投诉率,签收好评率,代收好评率,及时揽收率
336057,159544,32.54,99.49,68.82,91.71,4.32,1.9,18.8,9.53,74.34,7.24,91.52,86.53,84.38
148558,110559,74.37,99.91,94.12,98.93,1.63,2.7,0,3.44,77.44,5.26,92.71,88.17,92.84
40933,102729,52.77,99.96,87.66,95.33,2.82,2.9,0,8.18,70,9.52,96.94,94.34,84.04
8317,141689,28.3,98.25,74.42,92.19,6.14,49.4,7.06,18.42,73.58,22.22,87.86,90.2,89.49
712530,16598,42.77,98.11,76.35,90.52,1.81,24.1,0,32.53,92.51,25.93,86.84,87.5,67.96
1146361,56080,35.13,90.04,65.43,90.17,4.28,1.8,35.66,56.53,73,10.41,93.6,90.18,89.52
71018,34814,47.98,97.55,73.33,92.35,6.32,8.6,0,13.21,67,8.7,95.4,95.45,99.17
166569,100045,43.3,99.85,86.61,93.55,5.3,5,10,12.59,77.16,11.9,90.15,84.71,92.56
432676,45749,39.97,99.94,86.56,94.99,4.81,6.6,0,18.14,78.29,13.25,93.57,95.45,85.02
120,37900,66.67,0,91.51,93.39,1.06,0,0,3.96,63.85,33.33,80,94.12,
319130,253452,32.75,93.93,35.68,93.01,4.46,1.6,3.95,9.71,75.31,6.5,86.68,87.17,85.27
112103,81029,35.61,80.45,51.68,73.6,1.73,2.5,0,9.87,75.55,22.5,91.9,90.08,90.2
345758,172159,67.43,93.07,90.4,97.66,1.63,0.6,5.81,6.56,72.56,6.19,95.34,92.24,93.85
104212,490077,57.05,97.48,70.82,93.32,2.2,2,10.2,4.65,80.66,4.82,90.49,87.23,90.34
178,33968,10,100,5.06,25.03,241.4,1542.6,559.35,783.38,68.74,32.84,30.74,51.85,57.98
48538,64550,45.66,99.84,90.89,97.06,2.01,46.5,15.49,8.99,72.43,5.17,89.31,93,89.25
11200,138133,47.4,99.68,87.63,95.23,3.33,3.6,0,7.38,66.67,9.8,89.07,89.51,75.68
41317,256531,21.42,96.02,64.5,86.36,8.5,8.2,11.69,24.13,66.35,22.94,87.03,87.73,86.95
437515,289139,42.23,98.13,93.34,97.69,3.11,10.7,3.46,6.61,79.23,5.76,88.9,87.05,88.24
22,8070,47.06,100,82.83,89.78,7.43,12.4,0,9.91,76.47,12.5,93.75,94.12,
85888,82262,51.3,99.97,87.37,95.1,5.11,4.9,12.16,9.36,72.18,15.58,94.22,88.99,95.22
100873,116378,53.68,99.73,47.37,94.56,4.3,3.4,0,9.19,75.59,12.15,88.24,91.67,97.05
368714,347605,50.23,95.51,88.55,97.23,5.09,0.9,0,6.93,76.79,3.32,87.77,81.62,87.03
25107,60830,23.32,99.49,69.31,81.12,4.27,6.6,32.88,23.51,76.89,17.48,91.35,77.44,88.89
35577,65074,64.28,99.13,93.91,98.02,3.23,3.1,0,6.92,80.8,4.44,94.62,93.98,91.65
83840,121007,52.82,98.58,88.54,96.26,2.07,1.7,0,10.25,66.85,11.29,93.79,91.41,84.26
72653,75423,20.37,99.64,60.29,75.43,6.58,17.2,28.61,58.18,61.24,30.98,87.66,87.91,90.49
127112,126655,90.69,99.95,97.86,99.46,0.95,0,0,2.05,85.71,,92.35,96.36,97.48
50798,70822,70.27,99.92,91.77,97.57,0.99,15.5,14.12,2.97,84.4,4.76,89.19,96.4,97.68
99670,135337,63.34,98.07,89.13,98.14,3.4,4.4,0,7.68,72.32,10.58,90.08,95.21,98.12
450424,17564,47.54,89.92,94.29,97.88,7.4,11.4,0,23.34,79.34,4.88,88.64,92.95,99.23
79131,193397,72.29,99.45,90.9,97.85,2.28,4.7,0,4.5,75.06,20.69,91.02,94.47,96.97
183678,549130,63.83,99.28,68.68,93.09,2.02,2.5,1.82,3.71,82.75,3.92,89.86,94.36,88.45
78343,114826,81.19,99.96,92.33,96.63,2.26,1.7,0,5.49,84.91,3.17,93.98,94.53,97.8
1057,60766,78.5,90.32,95.92,98.44,2.63,1.6,0,4.28,71.57,,97.85,95.52,97.88
441,31931,73.16,94.44,60.51,96.51,1.88,0,0,5.32,70.37,5.88,100,94.74,96.93
33805,72738,88.77,98.88,95.78,98.23,0.27,0,0,0.96,89.29,14.29,97.37,94.71,98.88
21700,156621,70.07,99.86,91.02,98.18,2.43,2.6,12.77,4.6,77.55,6.94,92.42,96.12,96.99
7554,47497,75.16,99.89,76.54,98.57,1.68,4.2,21.05,2.95,78.13,,95.65,97.64,95.08
419106,286594,44.59,83.2,35.09,96.32,4.19,1.7,0,8.27,78.19,8.44,83.65,95.39,92.37
10058,50656,88.39,99.77,91.66,97.26,0.79,3.9,0,1.38,84.42,,97.99,94.92,99.4
31430,138275,46.77,99.05,79.83,93.62,6,7.2,7.23,19.38,67.12,15.67,93.98,95.22,97.58
22701,139861,78.81,99.87,94.1,96.33,2.22,1.4,0,4.29,82.64,6.67,92.2,96.16,95.04
9607,56597,75.86,95.72,75.85,98.78,1.06,15.9,0,1.94,84.51,,96.55,95.28,98.34
32945,54643,74.22,99.75,99.38,98.6,3.29,0,0,5.86,83.33,3.13,92.02,94.99,94.42
18694,155935,61.57,99.43,81.61,97.16,2.31,55.2,0,5.52,72.06,8.14,90.49,95.75,96.73
15402,111531,48.68,96.02,66.23,91.35,3.68,99.5,0,8.34,64.63,23.66,92.59,95.96,98.74
